id,y_true,y_pred,score,energy
715,0,0,0.8517850118453297,0.8517850118453297
9132,0,0,0.0,0.0
9801,1,1,1.3164583605863047,1.3164583605863047
6408,0,0,0.4675925038775352,0.4675925038775352
3064,1,1,1.3427218716155687,1.3427218716155687
5571,0,0,0.0,0.0
9488,0,0,0.6037587010988197,0.6037587010988197
17,1,0,1.1635497240422872,1.1635497240422872
2221,1,1,1.5516287695254405,1.5516287695254405
7853,1,1,1.7408571130657136,1.7408571130657136
2132,1,0,0.8640245267733121,0.8640245267733121
795,0,0,0.0,0.0
1376,0,1,20.041356866346355,20.041356866346355
776,0,0,0.8098332630201807,0.8098332630201807
5868,1,0,1.136156494927734,1.136156494927734
1416,1,0,0.9842900255754401,0.9842900255754401
7375,0,0,0.9227252624089968,0.9227252624089968
4536,1,1,1.3529315292380666,1.3529315292380666
7156,0,0,1.1211687585348007,1.1211687585348007
1868,0,0,0.7935519419143631,0.7935519419143631
756,0,0,0.0,0.0
9165,0,0,0.0,0.0
4674,1,0,1.2226584439016597,1.2226584439016597
702,1,1,1.3847298981353198,1.3847298981353198
652,0,0,0.8761838481556321,0.8761838481556321
4314,0,0,1.063946544937818,1.063946544937818
9116,0,1,1.3709386963509083,1.3709386963509083
2737,1,0,1.2248912866521802,1.2248912866521802
45,0,0,1.1724969012865518,1.1724969012865518
1029,1,1,1.5007717066519173,1.5007717066519173
154,1,1,1.336823742694016,1.336823742694016
2800,0,0,0.5074263262250003,0.5074263262250003
6002,0,0,0.0,0.0
10,1,1,1.3702087719449654,1.3702087719449654
5035,1,1,1.6992852488232648,1.6992852488232648
8019,1,0,1.196427233037845,1.196427233037845
2359,1,0,1.194182284410572,1.194182284410572
497,1,1,1.2644923528358234,1.2644923528358234
5061,1,1,16.755836876658282,16.755836876658282
2406,0,0,0.0,0.0
4757,1,0,1.1666892985311226,1.1666892985311226
1144,0,0,0.0,0.0
6829,1,0,0.9451644951211252,0.9451644951211252
8264,1,1,1.4990151796876587,1.4990151796876587
1995,0,0,0.0,0.0
6057,1,0,0.9149783251472267,0.9149783251472267
3762,0,0,0.0,0.0
2680,1,0,1.1828492901037784,1.1828492901037784
2488,0,0,0.0,0.0
5196,0,0,0.9431750708220961,0.9431750708220961
5258,1,1,1.2694112018597619,1.2694112018597619
2322,1,1,1.2922337924612455,1.2922337924612455
7246,1,0,0.950727382251618,0.950727382251618
8784,1,0,0.8371498489534743,0.8371498489534743
6360,1,1,1.307606724053656,1.307606724053656
104,1,1,1.419943083371329,1.419943083371329
4540,1,0,1.0315011331983723,1.0315011331983723
7365,1,1,1.6105280765005319,1.6105280765005319
621,1,1,1.2768735546058532,1.2768735546058532
5703,1,1,1.3628540334741313,1.3628540334741313
372,1,0,1.2474804067602006,1.2474804067602006
4108,0,0,0.0,0.0
4735,0,0,0.9730673236254895,0.9730673236254895
7275,1,0,1.16402700896984,1.16402700896984
475,0,0,0.0,0.0
5932,0,0,0.0,0.0
9682,0,0,0.7276391398157809,0.7276391398157809
7173,0,0,0.6511674895887275,0.6511674895887275
2484,1,1,14.68267762483212,14.68267762483212
6317,1,0,1.0639817537793461,1.0639817537793461
3033,0,0,0.0,0.0
7022,0,0,0.4379952016916123,0.4379952016916123
8976,0,0,0.0,0.0
8065,1,0,1.1642351891939575,1.1642351891939575
3159,1,1,1.4286442584503893,1.4286442584503893
4497,1,1,15.59524940007885,15.59524940007885
110,1,1,1.3758555313733467,1.3758555313733467
5364,0,0,1.1597850988504905,1.1597850988504905
7663,1,1,1.5107085011415065,1.5107085011415065
3581,0,0,0.0,0.0
3266,0,1,1.4744758479991644,1.4744758479991644
1676,1,1,1.5370029992577858,1.5370029992577858
9493,0,0,0.0,0.0
4034,1,0,0.0,0.0
8311,0,0,0.0,0.0
4875,0,0,0.72519373331312,0.72519373331312
3398,0,0,0.44419877071122643,0.44419877071122643
2326,1,1,1.3682943337575595,1.3682943337575595
9481,0,0,0.0,0.0
7201,1,1,1.3348831479843584,1.3348831479843584
2999,1,0,1.0592110497997052,1.0592110497997052
6925,1,0,1.0741897597107624,1.0741897597107624
3545,0,0,0.4513490876100286,0.4513490876100286
2522,1,1,1.515021748229949,1.515021748229949
9444,1,1,1.5004327705638039,1.5004327705638039
9405,1,1,1.4082757734184705,1.4082757734184705
7079,0,0,0.0,0.0
2401,0,0,0.0,0.0
7210,0,0,0.0,0.0
3211,1,0,1.0965763265438961,1.0965763265438961
2153,1,1,1.3208330111648976,1.3208330111648976
3797,1,1,1.6476377997040592,1.6476377997040592
4922,0,0,0.0,0.0
562,0,0,0.0,0.0
